40 140 4  
10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
3000 1500 750 375
0 1 20 1 840
0 3 20 1 1750
1 4 20 1 2240
3 5 20 1 2030
5 6 20 1 350
0 7 20 1 2660
5 8 20 1 1400
15 21 20 1 1680
16 22 20 1 2450
11 23 20 1 70
22 24 20 1 1190
6 25 20 1 2030
2 27 20 1 280
21 28 20 1 1330
23 29 20 1 210
9 30 20 1 1540
28 31 20 1 2520
31 32 20 1 1330
3 34 20 1 1890
33 35 20 1 1890
17 36 20 1 1820
0 38 20 1 2100
23 39 20 1 980
17 32 20 1 1890
35 7 20 1 1120
14 31 20 1 910
6 30 20 1 1960
31 7 20 1 1260
17 7 20 1 2380
39 24 20 1 1260
28 3 20 1 2520
1 2 20 1 2170
11 36 20 1 1050
20 36 20 1 1540
28 39 20 1 2030
4 1 20 1 1050
13 39 20 1 1330
18 20 20 1 2030
7 27 20 1 630
13 8 20 1 280
7 21 20 1 2170
17 13 20 1 2450
29 16 20 1 1120
11 0 20 1 700
39 36 20 1 2730
23 24 20 1 630
4 9 20 1 2100
22 35 20 1 420
13 23 20 1 280
8 0 20 1 1330
18 20 20 1 2590
38 1 20 1 2100
38 9 20 1 2660
12 38 20 1 1400
30 17 20 1 2730
31 15 20 1 630
36 31 20 1 210
34 32 20 1 1120
8 6 20 1 210
6 35 20 1 2380
29 22 20 1 350
2 11 20 1 1540
25 22 20 1 420
26 23 20 1 2380
35 25 20 1 980
32 8 20 1 2310
25 33 20 1 2590
1 38 20 1 490
22 1 20 1 1750
36 22 20 1 700
1 0 20 1 840
3 0 20 1 1750
4 1 20 1 2240
5 3 20 1 2030
6 5 20 1 350
7 0 20 1 2660
8 5 20 1 1400
21 15 20 1 1680
22 16 20 1 2450
23 11 20 1 70
24 22 20 1 1190
25 6 20 1 2030
27 2 20 1 280
28 21 20 1 1330
29 23 20 1 210
30 9 20 1 1540
31 28 20 1 2520
32 31 20 1 1330
34 3 20 1 1890
35 33 20 1 1890
36 17 20 1 1820
38 0 20 1 2100
39 23 20 1 980
32 17 20 1 1890
7 35 20 1 1120
31 14 20 1 910
30 6 20 1 1960
7 31 20 1 1260
7 17 20 1 2380
24 39 20 1 1260
3 28 20 1 2520
2 1 20 1 2170
36 11 20 1 1050
36 20 20 1 1540
39 28 20 1 2030
1 4 20 1 1050
39 13 20 1 1330
20 18 20 1 2030
27 7 20 1 630
8 13 20 1 280
21 7 20 1 2170
13 17 20 1 2450
16 29 20 1 1120
0 11 20 1 700
36 39 20 1 2730
24 23 20 1 630
9 4 20 1 2100
35 22 20 1 420
23 13 20 1 280
0 8 20 1 1330
20 18 20 1 2590
1 38 20 1 2100
9 38 20 1 2660
38 12 20 1 1400
17 30 20 1 2730
15 31 20 1 630
31 36 20 1 210
32 34 20 1 1120
6 8 20 1 210
35 6 20 1 2380
22 29 20 1 350
11 2 20 1 1540
22 25 20 1 420
23 26 20 1 2380
25 35 20 1 980
8 32 20 1 2310
33 25 20 1 2590
38 1 20 1 490
1 22 20 1 1750
22 36 20 1 700
